55690	2759	9157	142800
55696	2825	9228	138600
55773	2744	8905	143000
56004	3413	9226	45331
56018	3253	9517	40664
56021	3407	9548	41750
56029	3300	9700	36812
56033	3455	9813	42723
56034	3348	9708	44154
56038	3259	9806	142000
56043	3429	10014	37190
56046	3345	9939	39675
56065	3444	10136	135000
56067	3326	10129	36285
56074	3400	10205	34714
56079	3335	10258	34414
56080	3500	10254	29100
56093	3426	10401	23150
56096	3324	10455	10791
56106	3153	9347	40228
56116	3125	9536	38731
56125	3212	9628	36437
56137	3109	9710	33150
56144	3148	9835	131840
56146	3137	10000	133935
56151	3256	10045	135300
56152	3217	10020	138939
56167	3059	10107	29572
56172	3154	10214	26644
56173	3248	10233	34916
56178	3100	10221	23692
56182	3239	10334	28507
56187	3045	10352	5477
56188	3100	10340	6985
56196	3127	10444	5227
56202	3040	9317	144888
56223	3045	9550	136400
56227	2952	9546	127360
56247	3000	9906	25892
56251	3056	10019	130000
56257	3000	10016	39489
56287	2959	10300	6276
56312	2940	9420	29918
56331	2940	9750	137800
56357	2903	10018	137277
56374	3003	10158	26157
56385	2931	10320	130474
56386	2934	10345	4242
56434	2839	9728	23276
56444	2829	9855	33190
56459	2756	10116	24265
56462	2900	10130	29250
56475	2839	10231	16595
56479	2800	10251	21324
56485	2816	10335	12558
56492	2848	10436	3408
56533	2745	9840	15833
56543	2750	9942	32767
56548	2710	9917	23261
56565	2726	10131	125450
56571	2754	10216	15909
56586	2721	10343	19495
56643	2552	9851	9499
56651	2651	10013	23809
56664	2638	10116	12308
56666	2635	10143	11901
56671	2639	10215	17873
56684	2625	10317	21105
56691	2652	10417	22375
56693	2635	10452	18159
56739	2501	9830	16546
56748	2507	9911	16522
56751	2542	10011	19905
56763	2544	10152	11206
56768	2502	10133	18241
56778	2500	10239	18881
56786	2535	10350	18987
56792	2547	10458	16494
56793	2543	10428	18000
56838	2400	9751	7629
56856	2428	10052	11623
56872	2457	10237	23583
56875	2420	10233	17169
56886	2432	10346	17043
56946	2333	9924	11049
56950	2328	9948	10441
56951	2353	10005	15024
56954	2234	9956	10548
56959	2200	10047	5820
56964	2247	10058	13021
56966	2336	10159	4009
56969	2129	10134	6319
56977	2235	10151	11205
56985	2323	10323	13007
56986	2259	10341	14141
56991	2337	10420	15611
57003	3454	10650	9242
57014	3434	10552	10852
57025	3431	10723	7811
57028	3402	10719	15436
57030	3442	10809	9946
57034	3415	10813	4478
57037	3456	10859	7100
57046	3429	11005	20649
57048	3424	10843	4728
57049	3431	10944	3415
57051	3448	11112	4099
57052	3453	11027	3541
57067	3403	11102	5688
57071	3449	11226	3333
57077	3347	11139	7424
57083	3443	11339	1104
57084	3430	11303	11784
